| Abbeydale | NE/SE | Northeast | 10 | Residential | 1976 | 5925 | 5,700 | 2,023 | 1.7 | 3,480.6 | Very small section falls into the SE |
| Acadia | SE | South | 11 | Residential | 1960 | 9915 | 10,615 | 5,053 | 3.9 | 2,744.9 |   |
| Albert Park/Radisson Heights | SE | East | 9 | Residential | 1910 | 6740 | 6,217 | 2,709 | 2.5 | 2,493.6 | Commonly confused with Forest Lawn |
| Altadore | SW | Centre | 8 | Residential | 1945 | 7290 | 8,907 | 4,486 | 2.9 | 3,143.4 |   |
| Alpine Park | SW |   | 13 |   |   |   |   |   |   |   |   |
| Alyth/Bonnybrook | SE | Centre | 9 | Industrial |   | 0 | 17 | 14 | 3.8 | 4.2 |   |
| Applewood Park | SE/NE | East | 9 | Residential | 1982 | 6830 | 6,404 | 2,215 | 1.6 | 4,061.3 |   |
| Arbour Lake | NW | Northwest | 2 | Residential | 1992 | 10335 | 10,762 | 3,918 | 4.4 | 2,462.7 | Sometimes referred to as Crowfoot |
| Aspen Woods | SW | West | 6 | Residential | 2001 | 9435 | 4,469 | 2,281 | 3.8 | 1,387.1 |   |
| Auburn Bay | SE | Southeast | 12 | Residential | 2005 | 18090 | 5,769 | 2,808 | 4.5 | 1,598.4 |   |
| Aurora Business Park | NE | North |   | Industrial |   |   | 0 | 0 | 2.4 | 0 |   |
| Banff Trail | NW | Centre | 7 | Residential | 1952 | 3805 | 3,582 | 1,950 | 1.5 | 2,558 |   |
| Bankview | SW | Centre | 8 | Residential | 1908 | 5125 | 4,754 | 3,528 | 0.7 | 7,458.6 |   |
| Bayview | SW | South | 11 | Residential |   | 675 | 648 | 249 | 0.4 | 1,705 |   |
| Beddington Heights | NW/NE | North | 4 | Residential |   | 11295 | 11,457 | 4,348 | 3.2 | 3,620.3 |   |
| Bel-Aire | SW | Centre | 11 | Residential | 1960 | 400 | 449 | 159 | 0.3 | 1,413.3 |   |
| Belmont |   |   | 13 |   |   | 800 |   |   |   |   |   |
| Beltline | SW/SE | Centre | 8 | Residential |   | 25880 | 19,556 | 14,456 | 2.9 | 6,786.6 | Created as a merger between the neighborhoods of Connaught and Victoria Park |
| Belvedere | SE | East | 9 |   | 2013 |   |   |   |   |   | Sometimes referred to as East Hills |
| Bonavista Downs | SE | South |   | Residential | 1973 | 830 | 947 | 370 | 0.5 | 1,850 |   |
| Bowness | NW | Northwest | 1 | Residential | 1896 | 10770 | 10,700 | 5,313 | 5.6 | 1,966.4 |   |
| Braeside | SW | South | 11 | Residential | 1965 | 5700 | 5,978 | 2,544 | 2 | 2,970 |   |
| Brentwood | NW | Northwest | 2 | Residential | 1960 | 7410 | 6,049 | 2,595 | 2.9 | 2,089.3 |   |
| Bridgeland/Riverside | NE/SE | Centre | 9 | Residential | 1908 | 6350 | 5,254 | 3,274 | 3.1 | 1,804.5 |   |
| Bridlewood | SW | South | 13 | Residential | 1997 | 12545 | 11,641 | 4,200 | 3.2 | 3,698.4 |   |
| Britannia | SW | Centre | 8 | Residential | 1956 | 765 | 746 | 309 | 0.5 | 1,606 |   |
| Burns Industrial | SE | Centre |   | Industrial |   |   | 11 | 2 | 2.9 | 0 |   |
| Calgary International Airport | NE | Northeast | 5 | Industrial |   |   | 0 | 4 | 20.6 | 0 |   |
| Cambrian Heights | NW | Centre | 4 | Residential |   | 2000 | 2,039 | 930 | 0.9 | 2,287.8 |   |
| Canada Olympic Park | SW | West | 6 | Major Park |   |   | 0 | 0 | 0.9 | 0 |   |
| Canyon Meadows | SW | South |   | Residential | 1965 | 7435 | 7,895 | 3,195 | 3.1 | 2,511.9 |   |
| Capitol Hill | NW | Centre | 7 | Residential | 1948 | 4670 | 4,003 | 2,291 | 1.4 | 2,867.9 |   |
| Carrington | NW | North |   | Residential |   | 2750 |   |   |   |   |   |
| Castleridge | NE | Northeast | 5 | Residential | 1980 | 6130 | 6,098 | 1,954 | 1.2 | 5,080 |   |
| Cedarbrae | SW | South | 11 | Residential | 1973 | 5935 | 6,264 | 2,609 | 2.1 | 2,970 |   |
| Chaparral | SE | South |   | Residential | 1995 | 12500 | 11,151 | 3,759 | 5.4 | 2,139.3 |   |
| Charleswood | NW | Northwest | 4 | Residential | 1959 | 3595 | 3,357 | 1,494 | 1.8 | 1,900.6 |   |
| Chinatown | SW/SE | Centre | 7 | Residential |   | 2250 | 1,269 | 1,381 | 0.179 | 7,885 |   |
| Chinook Park | SW | South | 11 | Residential | 1959 | 1535 | 1,703 | 589 | 0.6 | 2,845 |   |
| Christie Park | SW | West | 6 | Residential | 1993 | 1880 | 2,180 | 728 | 0.8 | 2,745 |   |
| Citadel | NW | Northwest |   | Residential |   | 10180 | 10,171 | 3,479 | 2.7 | 3,776.7 |   |
| Cityscape[16] | NE | Northeast | 5 | Residential |   | 5085 |   |   |   |   |   |
